Package Name,Version
btop,1.4.0+git20240922.6c0cedd
btrfsmaintenance,0.5
btrfsprogs,6.14
bubblewrap,0.11.0
budgie-backgrounds,3.0
budgie-control-center,1.4.0+2
budgie-desktop,10.9.2+3
budgie-desktop-branding,20250305.1
budgie-desktop-view,1.3+0
budgie-extras,1.9.0
budgie-screensaver,5.1.0+0
budgie-session,0.9.1
budgie-wayland-session,0.0.0+10
bugzilla,5.0.6
build,20260312
build-compare,20240801T083050.024a3a7
build-helper-maven-plugin,3.6.0
buildah,1.39.5
buildkit,0.12.5
buildpacks-cli,0.35.1
buildstream,2.7.0
bulk_extractor,2.0.0
bump2version,1.0.1
bup,0.33.4
busybox,1.37.0
butane,0.21.0
bvi,1.4.2
byacc,20240109
byaccj,1.15
byobu,6.12
byte-buddy,1.18.3
bytelist,1.0.15
bzflag,2.4.30
bzip2,1.0.8
bzip3,1.4.0
bzrtp,5.3.105
c-ares,1.34.5
c-toxcore,0.2.19
c2hs,0.28.8
cJSON,1.7.18
c_count,7.23
ca-certificates,2+git20260203.5937e9f
ca-certificates-cacert,1
ca-certificates-mozilla,2.84
ca-certificates-mozilla-prebuilt,2.84
cabal-install,3.10.3.0
cabal-plan,0.7.4.0
cabal2spec,2.7.1
cabextract,1.11
cachefilesd,0.10.10
caddy,2.10.0
cadvisor,0.49.1
cage,0.2.0+0.e128a9f
cagebreak,2.3.1
cairo,1.18.4
cairomm,1.18.0
cairomm1_0,1.12.2
caja,1.28.0
caja-dropbox,1.28.0
caja-rename,24.5.1
cal10n,0.8.1.12
cal10n-maven-plugins,0.8.1.12
calamares,3.2.62
calamaris,2.59
calc,2.15.0.1
calcurse,4.8.1
calendarsupport,25.04.3
calibre,8.7.0
calindori,25.04.3
callaudiod,0.1.9
calls,47.0
camsource,0.7.1
canokey-qemu,0.0+git20230606.151568c
cantarell-fonts,0.303.1
cantata,3.3.1
cantor,25.04.3
canutils,2025.01
capnproto,1.2.0
capstone,4.0.2
carat,2.1b1+g132.21bfdb5
cardpeek,0.8.4
cargo-audit,0.21.2~git0.18e58c2
cargo-audit-advisory-db,20250304
cargo-auditable,0.6.6~0
cargo-c,0.10.15
cargo-packaging,1.2.0+7
cargo-vendor-filterer,0.5.16
caribou,0.4.21
cartridges,2.10.1
casacore,3.6.1
casacore-openmpi4,3.6.1
casync,2+git20201210.bd8898e
catatonit,0.2.0
catfish,4.20.1
catimg,2.7.0
cava,0.10.2
cc-tool,0.27
ccache,4.11.3
ccls,0.20250815.1
ccze,0.2.1.2
cd-discid,1.4
cddlib,0.94m
cdecl,18.4
cdemu-daemon,3.2.7
cdi-api,2.0.2
cdio-utils,2.1.0
cdk,5.0.20230201
cdparanoia,3.10.2
cdrdao,1.2.5
cecilia,5.4.1
cedilla,0.7
celluloid,0.27
cellwriter,1.3.6
celt,0.11.3
cepces,0.3.9
ceph,18.2.7
cereal,1.3.2
certgen,1.3.0
certmonger,0.79.19
cervisia,25.04.3
cfitsio,4.5.0
cg3,1.4.6
cgal,5.6.1
cgdb,0.8.0
cgit,1.2.3
cglib,3.3.0
cglm,0.9.4
cgns,4.4.0
ch341eepromtool,0.5
chafa,1.14.4
chayang,git20230209.61ad53b
cheat,4.4.2
check,0.15.2
check_postgres,2.26.0
checker-qual,3.22.0
checkmedia,6.3
checkpolicy,3.9
checksec,2.7.1
chemical-mime-data,0.1.94
cherrytree,1.1.4+18
chezmoi,2.52.3
chezscheme,10.0.0
chirp,20250808
chmlib,0.40
chntpw,1.0
chocolate-doom,3.1.0
choose,1.3.6
chromaprint,1.5.1+git.20221217
chromium,146.0.7680.164
chrony,4.6.1
chrpath,0.17
cifs-utils,7.4
cinnamon,6.4.6
cinnamon-control-center,6.4.1
cinnamon-desktop,6.4.1
cinnamon-menus,6.4.0
cinnamon-screensaver,6.4.0
cinnamon-session,6.4.0
cinnamon-settings-daemon,6.4.3
cinnamon-translations,6.4.2
civetweb,1.16
cjose,0.6.2.3
cjs,6.4.0
ck,0.7.2
ckb-next,0.6.0
clBLAS,2.12+git.20170323.cf91139
clFFT,2.12.2
clair,4.7.4
clamav,1.5.2
clamsap,0.104.3
clamtk,6.18
clang-extract,0~20251020.19c1329
clapper,0.6.1
clash,1.12.0
clatd,1.6
claws-mail,4.3.1
clazy,1.16.0
cld2,20150820
cldr-emoji-annotation,36.12.120191002_0
clementine,1.4.0~rc2
clevis,19
clhep,2.4.7.1
cli11,2.4.2
clinfo,3.0.23.01.25
clingo,5.6.2
clipgrab,3.9.10
clipman,1.6.4
clipscreen,0+git.20241113
cliquer,1.22
clisp,2.49.93
clknetsim,0+git.20240610
cln,1.3.7
clojure,1.12.0.1479
clone-master-clean-up,1.12
cloud-hypervisor,42.0
cloud-init,25.1.3
cloud-netconfig-azure,1.18
cloud-netconfig-ec2,1.18
cloud-netconfig-gce,1.18
cloud-regionsrv-client,10.5.2
cloudflared,2024.9.1
clpeak,1.1.4
clthreads,2.4.2
clucene-core,2.3.3.4
clustershell,1.9.2
clutter,1.26.4
clutter-gst,3.0.27
clutter-gtk,1.8.4
clxclient,3.9.2
clzip,1.14
cm,0.4.3
cmake,3.31.7
cmake-extras,1.7
cmake-full,3.31.7
cmake-ui,3.31.7
cmark,0.31.0
cmh,1.1.1
cmis-client,0.6.2
cmocka,1.1.7
cmuclmtk,0.7
cmus,2.11.0
cnf,0.7.1~0
cntlm,0.92.3
coccigrep,1.21
coccinelle,1.3.0
cockpit,356
cockpit-machines,348
cockpit-packages,4.1
cockpit-podman,120
cockpit-repos,4.7
cockpit-snapshots,3.1
cockpit-subscriptions,14.4
cockpit-tukit,0.1.7~git0.61e54f1
codec2,1.0.5
codespell,2.2.4
coeurl,0.3.1
cog,0.18.4
cogl,1.22.8
coin-or-Cbc,2.10.11
coin-or-Cgl,0.60.8
coin-or-Clp,1.17.9
coin-or-CoinUtils,2.11.10
coin-or-Osi,0.108.9
collada-dom,2.5.1+git20200104.c1e20b7
collectd,5.12.0.348.g93f9bdcb
colm,0.14.7
colord,1.4.8
colord-gtk,0.3.0
colord-kde,25.04.3
colordiff,1.0.21
colormake,0.9.20140503
combustion,1.5+git8
commandergenius,3.5.2
compat-usrmerge,84.87
compface,1.5.2
compiz,0.8.18
compiz-manager,0.7.0
compleat,1.0+git.20220402.ec8fccc
complexity,1.13
composefs,1.0.8
compsize,1.5
conan,2.8.0
conauto,2.03
conftest,0.56.0
conky,1.13.1
conman,0.3.1
conmon,2.1.13
connman,1.42
conntrack-tools,1.4.8
console-setup,1.223
consoleet-fixedsys-fonts,3.02.9.1
